prime_word,target_word,TargetAccuracy,RTRecogniseTarget
ADORE,LUST,1,1170
AGAIN,ENGAGE,1,4806
ALGEBRA,FORESIGHT,1,3881
ALTER,MAGNET,1,2264
AMBULANCE,FUSS,0,2449
ANCHOR,RELEASE,1,2840
ANSWER,PRECISE,1,3117
APARTMENT,MANSION,1,1870
APPEARANCE,NASTY,1,1042
APPENDAGE,INSTANT,1,2408
APPLIANCE,TEAPOT,1,1787
ARCHITECTUR,CREATIVE,1,2971
ARMY,COOKING,1,2835
ASHTRAY,SMOKING,1,1077
ASLEEP,DETERGENT,1,1771
ATTENDANCE,SMALL,1,1078
AUDIENCE,PERFORMANCE,1,1586
AWFUL,PRESENCE,1,2727
FLUNK,TEST,1,1810
BASSINET,DOCUMENT,1,1413
BEACH,DEODORANT,1,1572
BEDROOM,MATTRESS,1,1562
BELONG,SIBLING,1,2207
CONFERENCE,SEAFOOD,1,1682
BOG,ARENA,1,1275
BROOM,SLIMY,1,2203
BULLET,CERAMICS,1,3303
BUNCH,BUGGY,1,2639
BURDEN,COMPLICATED,1,2214
BUTLER,CAREER,1,4257
CHECKING,HIGHWAY,1,1632
CHILI,RAW,1,1317
CIRCLE,CONE,1,2701
TOOL,BUILDER,1,1573
COMFORT,TRANQUIL,1,2291
COMPASS,BIT,1,2351
COMPOUND,KID,1,1411
CONTENT,PROFESSION,1,3391
COVERED,SHIP,1,1857
CROCHET,BETTER,1,3206
CUBE,RECTANGLE,1,2815
CUSS,AGENT,1,1806
CYLINDER,FORCE,1,1757
DART,SLOW,1,1829
DASH,REST,1,1064
DECEPTION,BETRAY,1,2615
DECOMPOSE,DISSOLVE,1,3323
DEPRESSED,CLOWN,1,1619
DETECTIVE,TREASON,1,1818
DIGESTION,POPULAR,1,1615
DIRECTION,REFRAIN,1,3975
DISCUSSION,LIPS,1,1060
DISPLAY,CREATE,1,1966
DOWNSTREAM,SNORKEL,1,2161
DUE,LOTTERY,1,1693
DUNK,BRA,1,1568
DWARVES,HUGE,1,2079
EARNESTNESS,CELL,1,1961
EARRING,BRACELET,1,2602
EQUAL,ODD,1,1842
ERECT,SCALPEL,1,1564
EXHAUSTED,SCHEME,1,1909
EXPRESS,TRUTHFUL,1,2140
FACTOR,FIGURE,1,1708
FAITH,CHORUS,1,1639
FANCY,FRIENDLY,1,1042
FARMER,TULIP,1,1658
FAT,HEAVY,1,2830
FAULT,FELT,1,2321
FEED,FAMINE,1,1918
FIN,ZUCCHINI,1,2203
FIREMAN,LID,1,1497
FIST,HOSTILITY,1,2936
FLASK,CHAMPAGNE,1,2975
FOLD,BOOKBAG,1,2123
FOOLISH,STRIVE,1,1831
FORM,MESSAGE,1,1699
FRIENDLINES,FACE,1,1578
FRIGID,SPEAKER,1,2703
FRISK,THIEF,1,2336
GALAXY,SPACE,1,1260
GAMBLE,LOAF,0,1731
GHOUL,COMPASSION,1,2699
CONVENT,REPUBLICAN,1,2420
GOODS,PLAZA,1,1772
GRAFT,WRITE,1,1863
GROOM,FEMALE,1,2318
GUIDE,ORDINARY,1,2870
GUY,HORMONES,1,1765
HARBOR,SAILOR,1,1102
HAT,KITTEN,1,3329
HEIGHTS,TIMID,0,2641
HER,CHASE,1,1884
HIGH,TRUCK,1,1841
